,id,score,avg_conf,text,wid,agegroup,gender,hand,thirdgrade_usa,thirdgrade_usa_region,s1_dae,s1_time,s2_dae,s2_time,s3_dae,s3_time
140,w0006_s01_pWOZ_r02,0.9545454545454546,98.267370336196,woz,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
141,w0006_s01_pWOZ_r03,0.9545454545454546,97.5096501023022,woz,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
142,w0006_s02_pLND_r01,0.9204545454545454,95.90890647089759,london,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
143,w0006_s02_pLND_r02,0.9318181818181819,95.4010389418829,london,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
144,w0006_s02_pLND_r03,0.9318181818181819,95.74553168903698,london,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
145,w0006_s02_pPHR_r01,1.0,98.67769077845982,phrase,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
146,w0006_s02_pPHR_r02,1.0,95.8837697165353,phrase,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
147,w0006_s02_pPHR_r03,0.9285714285714286,97.18586676461356,phrase,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
148,w0006_s02_pWOZ_r01,0.9393939393939394,97.77438707494024,woz,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
149,w0006_s02_pWOZ_r02,0.9393939393939394,97.9103292985396,woz,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
150,w0006_s02_pWOZ_r03,0.9545454545454546,97.52123476854011,woz,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
151,w0006_s03_pLND_r01,0.9204545454545454,96.82610615816984,london,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
152,w0006_s03_pLND_r02,0.9318181818181819,96.69299225474514,london,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
153,w0006_s03_pLND_r03,0.9090909090909091,96.31492758358226,london,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
154,w0006_s03_pPHR_r01,1.0,98.60868889944894,phrase,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
155,w0006_s03_pPHR_r02,1.0,95.08313860212054,phrase,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
156,w0006_s03_pPHR_r03,1.0,96.96105848039899,phrase,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
157,w0006_s03_pWOZ_r01,0.9848484848484849,97.77617520004955,woz,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
158,w0006_s03_pWOZ_r02,0.9696969696969697,97.38832729965893,woz,6,18-24,male,right,True,midwest,0.0,earlyevening,42.0,lateevening,82.0,earlyevening
